Nom,SE invité,Adresse IP,Nom DNS,Remarques
BASE ELCIA,Microsoft Windows 7 (64-bit),129.1.59.201,BASE_ELCIA.agepar.local,
CENTREON,CentOS 7 (64-bit),,,
GANDALF,Microsoft Windows 7 (64-bit),129.1.59.150,GANDALF.agepar.local,
Gescom,Microsoft Windows Server 2012 (64-bit),129.1.59.241,srvgescom.agepar.local,
GLPI-OCS,Ubuntu Linux (64-bit),,,
INTRANET,Microsoft Windows Server 2003 (32-bit),129.1.59.142,INTRANET.agepar.local,
MATTERMOST,Ubuntu Linux (64-bit),,mattermost,
PC-immo,Microsoft Windows 7 (64-bit),,,
SAURON,Ubuntu Linux (64-bit),129.1.59.214,sauron,
SRVAD,Microsoft Windows Server 2016 or later (64-bit),129.1.59.200,SRVAD.agepar.local,
SRVCITRIX1,Microsoft Windows Server 2003 (32-bit),129.1.59.243,SRVCITRIX1.agepar.local,
SRVCITRIX2,Microsoft Windows Server 2003 (32-bit),,SRVCITRIX2.agepar.local,
SRVCITRIX3,Microsoft Windows Server 2003 (32-bit),129.1.59.240,SRVCITRIX3.agepar.local,
SRVCOMMERCE,Microsoft Windows Server 2003 Standard (64-bit),129.1.59.239,SRVCOMMERCE.agepar.local,
SRVFINANCE,Microsoft Windows Server 2008 R2 (64-bit),129.1.59.220,SRVFINANCE.agepar.local,
SRVGED,Microsoft Windows Server 2016 or later (64-bit),129.1.59.219,SRVGED.agepar.local,
SRVPAIE,Microsoft Windows Server 2012 (64-bit),129.1.59.248,SRVPAIE.agepar.local,
SRVSAGE,Microsoft Windows Server 2008 R2 (64-bit),129.1.59.230,SRVSAGE.agepar.local,
SRVTRESO,Microsoft Windows Server 2016 or later (64-bit),129.1.59.202,SRVTRESO.agepar.local,
SRVTSE1,Microsoft Windows Server 2012 (64-bit),129.1.59.160,SRVTSE1.agepar.local,
SRVTSE2,Microsoft Windows Server 2012 (64-bit),129.1.59.161,SRVTSE2.agepar.local,
SRVTSE3,Microsoft Windows Server 2012 (64-bit),129.1.59.162,SRVTSE3.agepar.local,
SRVVEEAM,Microsoft Windows Server 2008 R2 (64-bit),10.0.0.51, 129.1.59.126,SRVVEEAM.agepar.local,
SRVWEB,Ubuntu Linux (64-bit),129.1.59.210,SRVWEB,
SRVWEB_TEST,Ubuntu Linux (64-bit),,SRVWEB,
VCENTER,Other 3.x Linux (64-bit),129.1.59.129,SRVVCENTER.agepar.local,VMware vCenter Server Appliance
